Address,Sale_price,Monthly_maintenance_fee,AMI_max,No_of_bedrooms,lon,lat
"609 Columbus Avenue, 14T, New York, NY 10024",795000,1130,165,3,-73.9700091,40.7887084
"8 Morningside Avenue, 2N, New York, NY 10026",799000,767,120,2,-73.9579786,40.8044288
"1400 Fifth Avenue, 3G, New York, NY 10026",800000,1007,320,2,-73.9469577,40.8005472
"1831 Madison Avenue, 6M, New York, NY 10035",825000,1003,355,3,-73.9430084,40.8021443
"626 East 9th Street, 1R, New York, NY 10009",849000,800,165,2,-73.9792295,40.7256636
"1400 Fifth Avenue, 3L, New York, NY 10026",850000,1118,355,2,-73.9469577,40.8005472
"1825 Madison Avenue, 8J, New York, NY 10035",850000,2534,355,3,-73.9434676,40.8014385
"1400 Fifth Avenue, 4I, New York, NY 10026",850000,1152,355,2,-73.9469577,40.8005472
"50 West 106th Street, 11C, New York, NY 10025",850000,1097,380,2,-73.9618588,40.7985989
"2235 Frederick Douglass Boulevard, 8F, New York, NY 10027",950000,917,357,2,-73.9535703,40.807426
"175 West 83rd Street, 4S, New York, NY 10024",998000,300,165,3,-73.9759415,40.7856303
"7 Second Avenue, 3C, New York, NY 10003",1400000,0,165,0,-73.9912901,40.7240197
"223 East 4th Street, 24, New York, NY 10009",1645000,1441,165,4,-73.983144,40.72378
